weekday,hours,exit_num,exit_name,latitude,longitude,action,total
1,1,48A,Pembroke - Medina - NY Route 77,43.00281,-78.41385,entrance,31
1,1,48A,Pembroke - Medina - NY Route 77,43.00281,-78.41385,exit,29
1,1,49,Depew - Lockport - NY Route 78,42.95065,-78.70493,entrance,31
1,1,49,Depew - Lockport - NY Route 78,42.95065,-78.70493,exit,26
1,1,50,Niagara Falls - I-290,42.94892,-78.76393,entrance,100
1,1,50,Niagara Falls - I-290,42.94892,-78.76393,exit,82
1,1,55,Springville - Orchard Park - Lackawanna - West Seneca - US Route 219 - Ridge Road,42.82744,-78.79094,entrance,61
1,1,55,Springville - Orchard Park - Lackawanna - West Seneca - US Route 219 - Ridge Road,42.82744,-78.79094,exit,61
1,1,56,Blasdell - Orchard Park - Mile Strip Road (NY Route 179),42.79274,-78.81661,entrance,15
1,1,56,Blasdell - Orchard Park - Mile Strip Road (NY Route 179),42.79274,-78.81661,exit,14
1,1,57,Hamburg - East Aurora - NY Route 75,42.74377,-78.84037,entrance,18
1,1,57,Hamburg - East Aurora - NY Route 75,42.74377,-78.84037,exit,18
1,1,57A,Eden - Angola,42.65908,-78.9609,entrance,7
1,1,57A,Eden - Angola,42.65908,-78.9609,exit,11
1,1,58,"Silver Creek - Irving - NY Routes 5, 20 & 438",42.55092,-79.10812,entrance,22
1,1,58,"Silver Creek - Irving - NY Routes 5, 20 & 438",42.55092,-79.10812,exit,22
1,1,59,Dunkirk - Fredonia - NY Route 60,42.4621,-79.3058,entrance,11
1,1,59,Dunkirk - Fredonia - NY Route 60,42.4621,-79.3058,exit,23
1,1,60,Westfield - Mayville - NY Route 394,42.33869,-79.58345,entrance,6
1,1,60,Westfield - Mayville - NY Route 394,42.33869,-79.58345,exit,6
1,1,61,Ripley - Shortman Road,42.26208,-79.74435,entrance,42
1,1,61,Ripley - Shortman Road,42.26208,-79.74435,exit,27
1,1,B1,Albany - Hudson - Rensselaer - I-90 - US Route 9,42.4821,-73.67022,entrance,22
1,1,B1,Albany - Hudson - Rensselaer - I-90 - US Route 9,42.4821,-73.67022,exit,24
1,1,B2,Taconic State Parkway - NY Route 295,42.42027,-73.54834,entrance,6
1,1,B2,Taconic State Parkway - NY Route 295,42.42027,-73.54834,exit,7
1,1,B3,Austerlitz - New Lebanon - NY Route 22,42.35767,-73.42707,entrance,56
1,1,B3,Austerlitz - New Lebanon - NY Route 22,42.35767,-73.42707,exit,29
1,2,15,New Jersey - I-287 - NJ Route 17 South,41.12133,-74.16283,entrance,83
1,2,15,New Jersey - I-287 - NJ Route 17 South,41.12133,-74.16283,exit,59
1,2,16,Harriman - US Route 6 - NY Route 17,41.31065,-74.12265,entrance,8
1,2,17,Newburgh - Scranton- I-84 - NY Routes 17K & 300,41.50947,-74.07446,entrance,43
1,2,17,Newburgh - Scranton- I-84 - NY Routes 17K & 300,41.50947,-74.07446,exit,43
1,2,18,New Paltz - Poughkeepsie - NY Route 299,41.73551,-74.0657,entrance,28
1,2,18,New Paltz - Poughkeepsie - NY Route 299,41.73551,-74.0657,exit,24
1,2,19,Kingston - NY Route 28 – Kingston-Rhinecliff Bridge,41.94764,-74.02749,entrance,28
1,2,19,Kingston - NY Route 28 – Kingston-Rhinecliff Bridge,41.94764,-74.02749,exit,27
1,2,20,Saugerties - Woodstock - NY Route 32,42.08306,-73.97328,entrance,13
1,2,20,Saugerties - Woodstock - NY Route 32,42.08306,-73.97328,exit,19
1,2,21,Catskill - Cairo - NY Route 23,42.25013,-73.88444,entrance,13
1,2,21,Catskill - Cairo - NY Route 23,42.25013,-73.88444,exit,15
1,2,21B,Coxsackie - Ravena - US Route 9W - NY Route 81,42.39365,-73.82495,entrance,7
1,2,21B,Coxsackie - Ravena - US Route 9W - NY Route 81,42.39365,-73.82495,exit,12
1,2,22,Selkirk - NY Routes 144 & 396,42.53415,-73.78411,entrance,9
1,2,22,Selkirk - NY Routes 144 & 396,42.53415,-73.78411,exit,13
1,2,23,Albany (Downtown) - Troy - Rensselaer - I-787 - US Route 9W,42.63289,-73.78142,entrance,35
1,2,23,Albany (Downtown) - Troy - Rensselaer - I-787 - US Route 9W,42.63289,-73.78142,exit,46
1,2,24,Albany - Montreal - I-90 East - I-87 North,42.69778,-73.84546,entrance,84
1,2,24,Albany - Montreal - I-90 East - I-87 North,42.69778,-73.84546,exit,70
1,2,25,Schenectady - I-890 - NY Routes 7 & 146,42.754,-73.93361,entrance,34
1,2,25,Schenectady - I-890 - NY Routes 7 & 146,42.754,-73.93361,exit,27
1,2,25A,Schenectady - Binghamton - I-88 - NY Route 7,42.79035,-74.01592,entrance,27
1,2,25A,Schenectady - Binghamton - I-88 - NY Route 7,42.79035,-74.01592,exit,25
1,2,26,Schenectady - Scotia - I-890 - NY Routes 5 & 5S,42.83812,-74.0126,entrance,21
1,2,26,Schenectady - Scotia - I-890 - NY Routes 5 & 5S,42.83812,-74.0126,exit,20
1,2,27,Amsterdam - NY Route 30,42.92295,-74.19648,entrance,20
1,2,27,Amsterdam - NY Route 30,42.92295,-74.19648,exit,23
1,2,28,Fultonville - Fonda - NY Route 30A,42.94476,-74.35976,entrance,12
1,2,28,Fultonville - Fonda - NY Route 30A,42.94476,-74.35976,exit,22
